FID,TRACT,ACRES_TOTA,Population,Sum_count,Sum_RACK_C
64,8100,206.3403066,3373,218,556
124,7200,249.6324892,4892,209,550
10,4700,490.8457431,6546,169,532
69,7500,198.1066228,6134,157,436
71,7300,228.8203306,4235,124,346
43,5301,134.2897257,4653,105,258
67,8400,94.54248341,3686,96,246
52,3600,295.632605,5635,94,237
122,8001,120.2349787,5369,94,222
59,9200,77.2948073,2266,89,196
96,9300,2341.806557,1934,85,216
93,10300,410.2449401,5715,80,228
7,4900,270.6327904,6026,79,296
116,10500,424.4972006,6070,77,180
123,8002,56.59967958,2609,74,226
49,4400,244.5958034,5935,67,177
65,8200,90.61166958,3112,67,184
44,5000,187.1426853,3600,54,150
68,7900,172.5889839,4980,54,157
41,5200,238.3925545,5971,51,140
104,9100,103.4917473,2413,51,114
82,5400,296.129535,4853,50,144
114,10600,624.1089772,7302,49,110
72,7402,61.59661722,4772,47,132
125,7100,213.0179835,2807,47,130
120,9800,477.0565525,6187,45,128
80,6700,304.7206061,6431,44,112
119,9701,442.8637825,5275,43,130
3,6800,177.4387707,2834,42,154
131,10900,1189.38011,1203,42,92
15,2800,242.9853959,4467,41,98
11,3200,510.2934586,7683,40,158
16,2900,243.6816752,4173,40,110
103,9000,202.799416,2734,39,134
9,4800,330.2822469,4509,36,136
83,5302,577.3179162,241,33,96
42,5100,217.8636468,3662,32,78
81,6100,276.4247743,4791,31,72
1,2600,307.5844204,4658,30,58
62,8600,175.773386,3321,30,108
19,1701,220.5934557,3810,29,86
78,6600,252.5674752,3250,29,70
121,9600,452.8880086,5136,29,95
66,8300,58.67272493,2389,28,84
132,11200,681.6807728,3775,28,92
127,7000,199.1470825,6910,25,62
31,1300,292.5511842,4337,24,59
75,6300,571.208999,4936,24,66
14,3300,320.3204952,6217,23,104
85,11800,573.9639795,7281,23,80
46,4301,241.9906529,3514,22,48
100,10002,234.3109908,4257,22,50
12,3500,317.4524484,3719,21,48
17,3000,368.9674474,5632,21,80
23,2700,393.8050087,5287,21,64
40,4100,787.830676,7782,21,74
70,7700,261.5061575,4452,21,68
74,7401,64.09274504,4115,21,46
6,5700,1229.156002,5985,20,78
58,7800,514.0791526,5097,20,80
63,8500,117.1761309,2414,20,74
99,9500,629.1623441,5875,20,104
45,4200,608.8325993,7610,19,64
73,7600,141.3079475,3429,19,52
4,6000,324.5674317,4972,18,36
13,3400,194.4977517,3302,18,51
18,3100,530.7031456,6133,18,66
77,6500,283.5684326,4150,18,38
51,4600,382.242707,3251,17,80
60,8800,234.3898948,3484,17,40
97,10001,571.8336739,3714,17,48
98,10100,616.5090384,6417,17,52
101,9400,425.7655606,5588,17,74
107,11402,293.0956779,4174,17,50
38,100,456.9270292,6208,16,48
47,4302,81.71674016,2763,15,34
50,4500,165.7975095,2654,15,50
61,8700,180.9698729,3742,15,46
117,9900,1612.582002,4770,15,46
126,5802,763.6246399,4509,14,51
48,4000,613.4915356,2521,13,62
102,8900,314.3011416,4653,13,32
76,6200,627.4947195,3832,12,37
28,1900,410.970985,4043,11,38
34,1200,453.1722387,6456,11,23
37,700,319.8986037,4426,11,22
0,2500,243.2190827,2802,10,20
21,1600,476.7483701,4105,10,82
79,6400,223.2863155,3187,9,33
128,6900,223.0976575,4061,9,28
2,5600,737.5117275,6377,8,16
25,2400,241.6795649,2972,8,34
89,11001,264.5881222,4422,8,22
5,5900,447.9195079,5509,7,24
8,5801,449.984145,4715,7,32
26,2000,279.6981736,3388,7,22
53,3900,240.6183421,2772,7,44
54,3800,154.334054,2046,7,14
108,11600,769.5687554,6310,7,26
110,11500,380.1343607,4191,7,26
27,2100,337.391041,3755,6,12
57,401,336.9711115,5423,6,14
20,1702,316.3291459,4086,5,14
22,200,812.0079487,7577,5,10
33,1000,235.8356654,1920,5,24
55,1400,525.9640339,4756,5,16
84,11700,864.5608413,5482,5,38
91,11101,284.2559302,4377,5,18
92,10200,688.6424767,4814,5,21
111,11401,304.7141776,4027,5,36
112,10800,1000.667499,4583,5,24
113,10701,359.8903306,3332,5,10
115,10702,193.9028761,3674,5,18
133,11900,773.4780786,7059,5,22
35,800,282.0730706,2524,4,20
36,600,948.3131859,7579,4,30
94,10401,399.5265738,4371,4,8
88,11002,414.167558,4457,3,22
90,11102,320.707701,4244,3,10
109,11300,790.5909396,5966,2,2
24,2200,683.242151,5254,1,2
29,1800,232.9978561,4503,1,2
95,10402,444.5058882,4635,1,2
106,12000,357.684542,3349,1,10
118,9702,548.3270524,5086,1,2
